
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003826                       # Number of seconds simulated (Second)
simTicks                                   3825750000                       # Number of ticks simulated (Tick)
finalTick                                  3825750000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     32.00                       # Real time elapsed on the host (Second)
hostTickRate                                119568774                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     723056                       # Number of bytes of host memory used (Byte)
simInsts                                     13231234                       # Number of instructions simulated (Count)
simOps                                       22752425                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   413523                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     711095                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          7651501                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.578291                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.729234                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        23685379                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1148                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       23393355                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   4646                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               934072                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1617583                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 287                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             7473228                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.130288                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.364799                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1412640     18.90%     18.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    721194      9.65%     28.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1247791     16.70%     45.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1024291     13.71%     58.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    688354      9.21%     68.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    931101     12.46%     80.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    728156      9.74%     90.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    431759      5.78%     96.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    287942      3.85%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               7473228                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  137816     77.48%     77.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     77.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     77.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     77.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     77.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     1      0.00%     77.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     77.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     77.48% # attempts to use FU when none available (Count)
