
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001068                       # Number of seconds simulated (Second)
simTicks                                   1067600000                       # Number of ticks simulated (Tick)
finalTick                                  1067600000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      5.46                       # Real time elapsed on the host (Second)
hostTickRate                                195479867                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     722024                       # Number of bytes of host memory used (Byte)
simInsts                                      1750044                       # Number of instructions simulated (Count)
simOps                                        3242965                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   320432                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     593784                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          2135201                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.220084                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.819616                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         3937179                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1027                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        3739810                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3223                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               695083                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1073317                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 220                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1969187                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.899164                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.465402                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1027862     52.20%     52.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    135850      6.90%     59.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    156439      7.94%     67.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    144915      7.36%     74.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    127562      6.48%     80.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     97399      4.95%     85.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    138190      7.02%     92.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     97806      4.97%     97.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     43164      2.19%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1969187                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   76310     81.61%     81.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     81.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     81.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     81.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     81.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     81.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     81.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     81.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     81.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     81.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     81.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      1      0.00%     81.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     81.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    108      0.12%     81.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     81.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     33      0.04%     81.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     9      0.01%     81.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     81.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     81.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     81.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   45      0.05%     81.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     81.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     81.82% # attempts to use FU when none available (Count)
