
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005617                       # Number of seconds simulated (Second)
simTicks                                   5616812500                       # Number of ticks simulated (Tick)
finalTick                                  5616812500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     41.09                       # Real time elapsed on the host (Second)
hostTickRate                                136686386                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     723056                       # Number of bytes of host memory used (Byte)
simInsts                                     13231234                       # Number of instructions simulated (Count)
simOps                                       22752425                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   321984                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     553684                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         11233626                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.849023                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.177824                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        30256628                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1055                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       26825106                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   8095                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              7505236                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          19010100                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 194                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            11052588                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.427043                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.315699                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   3578123     32.37%     32.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1268420     11.48%     43.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1252784     11.33%     55.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1428851     12.93%     68.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1100843      9.96%     78.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1106017     10.01%     88.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    643901      5.83%     93.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    421490      3.81%     97.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    252159      2.28%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              11052588                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  101728     69.78%     69.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     69.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     69.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     69.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     69.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     69.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     69.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     69.78% # attempts to use FU when none available (Count)
