
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003614                       # Number of seconds simulated (Second)
simTicks                                   3613785000                       # Number of ticks simulated (Tick)
finalTick                                  3613785000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     24.84                       # Real time elapsed on the host (Second)
hostTickRate                                145477803                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     723056                       # Number of bytes of host memory used (Byte)
simInsts                                     12307857                       # Number of instructions simulated (Count)
simOps                                       20546293                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   495467                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     827115                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          7227571                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.587232                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.702904                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        21732790                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1055                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       21322139                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   8089                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1187530                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2233087                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 194                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             7046717                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.025826                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.425942                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1478381     20.98%     20.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    835960     11.86%     32.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1069429     15.18%     48.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    908952     12.90%     60.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    599127      8.50%     69.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    651846      9.25%     78.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    755132     10.72%     89.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    549185      7.79%     97.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    198705      2.82%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               7046717                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  225910     92.19%     92.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     92.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     92.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     92.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     92.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     92.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     92.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     92.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     92.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     92.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     92.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                     49      0.02%     92.21% # attempts to use FU when none available (Count)
