
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005256                       # Number of seconds simulated (Second)
simTicks                                   5256305000                       # Number of ticks simulated (Tick)
finalTick                                  5256305000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     43.71                       # Real time elapsed on the host (Second)
hostTickRate                                120241429                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     723056                       # Number of bytes of host memory used (Byte)
simInsts                                     14778258                       # Number of instructions simulated (Count)
simOps                                       24040185                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   338062                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     549934                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         10512611                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.711357                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.405765                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        30042082                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1055                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       27102684                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   8135                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              6002930                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          16559743                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 194                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            10331653                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.623267                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.285214                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2966922     28.72%     28.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1018531      9.86%     38.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1305187     12.63%     51.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1387597     13.43%     64.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1004042      9.72%     74.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1258125     12.18%     86.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    826563      8.00%     94.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    472671      4.57%     99.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     92015      0.89%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              10331653                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  142892     88.19%     88.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     88.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     88.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     88.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     88.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     88.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     88.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     88.19% # attempts to use FU when none available (Count)
