
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003811                       # Number of seconds simulated (Second)
simTicks                                   3810923000                       # Number of ticks simulated (Tick)
finalTick                                  3810923000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     29.91                       # Real time elapsed on the host (Second)
hostTickRate                                127417057                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     725104                       # Number of bytes of host memory used (Byte)
simInsts                                     14778258                       # Number of instructions simulated (Count)
simOps                                       24040185                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   494105                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     803774                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          7621847                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.515747                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.938934                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        24855288                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1045                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       24612990                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3579                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               815990                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1353225                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 184                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             7439068                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.308612                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.294510                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1320715     17.75%     17.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    668692      8.99%     26.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    803600     10.80%     37.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1067363     14.35%     51.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1026300     13.80%     65.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1098377     14.76%     80.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    793303     10.66%     91.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    507638      6.82%     97.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    153080      2.06%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               7439068                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  216809     92.57%     92.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     92.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     92.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     92.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     92.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     92.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     92.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     92.57% # attempts to use FU when none available (Count)
