
---------- Begin Simulation Statistics ----------
simSeconds                                   0.004022                       # Number of seconds simulated (Second)
simTicks                                   4022441000                       # Number of ticks simulated (Tick)
finalTick                                  4022441000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     31.36                       # Real time elapsed on the host (Second)
hostTickRate                                128261100                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     723060                       # Number of bytes of host memory used (Byte)
simInsts                                     13665692                       # Number of instructions simulated (Count)
simOps                                       22790080                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   435748                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     726691                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          8044883                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.588692                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.698681                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        25095553                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1107                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       24266205                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3361                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2306422                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5232971                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 246                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             7866695                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.084676                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.332963                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1669121     21.22%     21.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    662686      8.42%     29.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1021523     12.99%     42.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1128506     14.35%     56.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1038442     13.20%     70.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    967298     12.30%     82.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    713456      9.07%     91.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    421343      5.36%     96.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    244320      3.11%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               7866695                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  181644     91.16%     91.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     91.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     91.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     91.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     91.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     91.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     91.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     91.16% # attempts to use FU when none available (Count)
